x,y,u,v,p,speed
 0.30859,   0.01953125,  -0.02210169,   0.00293300,   0.03936895,   0.02229545
 0.31641,   0.01953125,  -0.02439494,   0.00306699,   0.03915235,   0.02458698
 0.32422,   0.01953125,  -0.02677524,   0.00319309,   0.03893720,   0.02696496
 0.33203,   0.01953125,  -0.02923472,   0.00330942,   0.03872505,   0.02942144
 0.33984,   0.01953125,  -0.03176412,   0.00341405,   0.03851756,   0.03194706
 0.34766,   0.01953125,  -0.03435280,   0.00350502,   0.03831652,   0.03453115
 0.35547,   0.01953125,  -0.03698879,   0.00358040,   0.03812386,   0.03716167
 0.36328,   0.01953125,  -0.03965878,   0.00363825,   0.03794158,   0.03982532
 0.37109,   0.01953125,  -0.04234824,   0.00367671,   0.03777177,   0.04250755
 0.37891,   0.01953125,  -0.04504146,   0.00369401,   0.03761656,   0.04519268
 0.38672,   0.01953125,  -0.04772169,   0.00368848,   0.03747813,   0.04786402
 0.39453,   0.01953125,  -0.05037126,   0.00365860,   0.03735864,   0.05050395
 0.40234,   0.01953125,  -0.05297169,   0.00360303,   0.03726020,   0.05309408
 0.41016,   0.01953125,  -0.05550391,   0.00352063,   0.03718486,   0.05561545
 0.41797,   0.01953125,  -0.05794837,   0.00341047,   0.03713454,   0.05804864
 0.42578,   0.01953125,  -0.06028528,   0.00327189,   0.03711100,   0.06037400
 0.43359,   0.01953125,  -0.06249477,   0.00310448,   0.03711578,   0.06257183
 0.44141,   0.01953125,  -0.06455711,   0.00290811,   0.03715020,   0.06462258
 0.44922,   0.01953125,  -0.06645291,   0.00268298,   0.03721526,   0.06650705
 0.45703,   0.01953125,  -0.06816331,   0.00242958,   0.03731162,   0.06820659
 0.46484,   0.01953125,  -0.06967023,   0.00214873,   0.03743959,   0.06970336
 0.47266,   0.01953125,  -0.07095656,   0.00184156,   0.03759905,   0.07098045
 0.48047,   0.01953125,  -0.07200634,   0.00150958,   0.03778943,   0.07202216
 0.48828,   0.01953125,  -0.07280499,   0.00115459,   0.03800971,   0.07281415
 0.49609,   0.01953125,  -0.07333951,   0.00077875,   0.03825837,   0.07334365
 0.50391,   0.01953125,  -0.07359863,   0.00038453,   0.03853340,   0.07359963
 0.51172,   0.01953125,  -0.07357298,  -0.00002525,   0.03883228,   0.07357299
 0.51953,   0.01953125,  -0.07325533,  -0.00044750,   0.03915202,   0.07325669
 0.52734,   0.01953125,  -0.07264062,  -0.00087882,   0.03948915,   0.07264593
 0.53516,   0.01953125,  -0.07172619,  -0.00131554,   0.03983976,   0.07173826
 0.54297,   0.01953125,  -0.07051188,  -0.00175376,   0.04019955,   0.07053368
 0.55078,   0.01953125,  -0.06900006,  -0.00218938,   0.04056386,   0.06903478
 0.55859,   0.01953125,  -0.06719580,  -0.00261810,   0.04092776,   0.06724678
 0.56641,   0.01953125,  -0.06510685,  -0.00303554,   0.04128613,   0.06517757
 0.57422,   0.01953125,  -0.06274370,  -0.00343723,   0.04163371,   0.06283778
 0.58203,   0.01953125,  -0.06011956,  -0.00381868,   0.04196523,   0.06024072
 0.58984,   0.01953125,  -0.05725032,  -0.00417547,   0.04227548,   0.05740239
